AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
33,10,33Ne, 46130.0, 600.0,,23,2.0,3.0,,,5.0,10.288276478101775,28.05893584936848,5.121212121212121,0.0,1.0
30,10,30Ne,23280,250,0.792,20,2.0,0.0,,,2.0,9.654893846056297,28.964681538168897,3.3333333333333335,0.0,0.0
22,10,22Ne,5855,10,1.274537,12,2.0,4.0,,,6.0,7.851424410539689,32.11946349766237,0.18181818181818182,0.0,0.0
18,10,18Ne,5317.6,0.4,1.8873,8,2.0,0.0,,,2.0,6.868285455319991,34.34142727659996,0.2222222222222222,0.0,0.0
16,10,16Ne,23987,20,1.77,6,2.0,2.0,,,4.0,6.3496042078727974,35.716523669284484,1.0,0.0,0.0
22,10,22Ne,-8024.716,0.018,,12,2.0,4.0,,,6.0,7.851424410539689,32.11946349766237,0.18181818181818182,0.0,0.0
21,10,21Ne,3129,0.3,0.35072699999999996,11,2.0,3.0,,,5.0,7.611662611020244,32.62141119008677,0.047619047619047616,0.0,1.0
21,10,21Ne,-5731.78,0.04,,11,2.0,3.0,,,5.0,7.611662611020244,32.62141119008677,0.047619047619047616,0.0,1.0
20,10,20Ne,-7041.9322,0.0015,1.633674,10,2.0,2.0,,,4.0,7.368062997280773,33.15628348776348,0.0,0.0,0.0
19,10,19Ne,1752.05,0.16,0.23827,9,2.0,1.0,,,3.0,7.1203673589019925,33.72805591058839,0.05263157894736842,0.0,1.0
19,10,19Ne,9253,9,,9,2.0,1.0,,,3.0,7.1203673589019925,33.72805591058839,0.05263157894736842,0.0,1.0
17,10,17Ne,16500.5,0.4,1.288,7,2.0,1.0,,,3.0,6.611489018457944,35.00200068595383,0.5294117647058824,0.0,1.0
15,10,15Ne,40220,70,1.9,5,2.0,3.0,,,5.0,6.082201995573399,36.4932119734404,1.6666666666666667,0.0,1.0
20,10,20Ne,9690.9,2.8,,10,2.0,2.0,,,4.0,7.368062997280773,33.15628348776348,0.0,0.0,0.0
20,10,20Ne,3230.5,2,,10,2.0,2.0,,,4.0,7.368062997280773,33.15628348776348,0.0,0.0,0.0
26,11,26Na,-6861,4,0.08220000000000001,15,3.0,5.0,,,8.0,8.776382955329126,37.130850964854005,0.6153846153846154,1.0,1.0
