AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
24,11,24Na,,-8417.901,0.017,472.2074,13,3.0,5.0,8.0,8.320335292207616,38.13487008928491,0.16666666666666666,1.0,1.0
22,11,22Na,,-5181.39,0.13,583.05,11,3.0,3.0,6.0,7.851424410539689,39.257122052698456,0.0,1.0,1.0
35,11,35Na,,37830.0,670.0,373.0,24,3.0,4.0,7.0,10.699874805650794,33.62817796061678,4.828571428571428,1.0,0.0
23,11,23Na,j,10060.6,2.0,440.2,12,3.0,4.0,7.0,8.087579399090064,38.67972756086552,0.043478260869565216,1.0,0.0
18,11,18Na,,25040.0,90.0,300.0,7,3.0,1.0,4.0,6.868285455319991,41.972855560288835,0.8888888888888888,1.0,1.0
33,11,33Na,,23780.0,450.0,429.0,22,3.0,2.0,5.0,10.288276478101775,34.29425492700592,3.6666666666666665,1.0,0.0
28,12,28Mg,,-15019.95,0.26,1473.54,16,4.0,4.0,8.0,9.220872584116892,43.469827896551074,0.5714285714285714,0.0,0.0
23,12,23Mg,,-5473.67,0.03,450.7,11,4.0,3.0,7.0,8.087579399090064,46.41567307303863,0.043478260869565216,0.0,1.0
30,12,30Mg,,-8881.4,1.3,1482.8,18,4.0,2.0,6.0,9.654893846056297,42.481532922647716,1.2,0.0,0.0
38,12,38Mg,,34070.0,500.0,656.0,26,4.0,2.0,6.0,11.302878635921052,39.262631051094196,5.157894736842105,0.0,0.0
22,12,22Mg,,-399.99,0.16,1247.02,10,4.0,2.0,6.0,7.851424410539689,47.10854646323814,0.18181818181818182,0.0,0.0
27,12,27Mg,,-14586.59,0.05,984.88,15,4.0,5.0,9.0,8.999999999999998,44.0,0.3333333333333333,0.0,1.0
19,12,19Mg,,31840.0,60.0,1380.0,7,4.0,1.0,5.0,7.1203673589019925,49.46781533552964,1.3157894736842106,0.0,1.0
31,12,31Mg,,-3122.0,3.0,50.1,19,4.0,1.0,5.0,9.868272403218972,42.01974055564209,1.5806451612903225,0.0,1.0
21,12,21Mg,,10903.9,0.8,201.0,9,4.0,1.0,5.0,7.611662611020244,47.84473641212726,0.42857142857142855,0.0,1.0
24,12,24Mg,,-13933.578,0.013,1368.672,12,4.0,4.0,8.0,8.320335292207616,45.76184410714189,0.0,0.0,0.0
25,12,25Mg,,-13192.78,0.05,585.045,13,4.0,5.0,9.0,8.549879733383484,45.1433649922648,0.04,0.0,1.0
33,12,33Mg,,4962.9,2.7,484.1,21,4.0,1.0,5.0,10.288276478101775,41.153105912407106,2.4545454545454546,0.0,1.0
36,12,36Mg,,20380.0,690.0,662.0,24,4.0,4.0,8.0,10.902723556992836,39.97665304230708,4.0,0.0,0.0
40,12,40Mg,,49550.0,500.0,500.0,28,4.0,0.0,4.0,11.696070952851462,38.59703414440983,6.4,0.0,0.0
29,12,29Mg,,-10612.4,0.3,54.6,17,4.0,3.0,7.0,9.43913067739236,42.96431894537213,0.8620689655172413,0.0,1.0
32,12,32Mg,,-829.0,3.0,885.3,20,4.0,0.0,4.0,10.079368399158984,41.57739464653082,2.0,0.0,0.0
20,12,20Mg,,17477.7,1.9,1598.0,8,4.0,0.0,4.0,7.368062997280773,48.62921578205311,0.8,0.0,0.0
26,12,26Mg,,-16214.544,0.029,1808.74,14,4.0,6.0,10.0,8.776382955329126,44.557021157824806,0.15384615384615385,0.0,0.0
34,12,34Mg,,8323.0,7.0,660.0,22,4.0,2.0,6.0,10.49508462297634,40.74562265390815,2.9411764705882355,0.0,0.0
30,13,30Al,,-15864.1,1.9,243.9,17,5.0,3.0,8.0,9.654893846056297,50.205447999492755,0.5333333333333333,1.0,1.0
22,13,22Al,,18200.0,400.0,1850.0,9,5.0,1.0,6.0,7.851424410539689,55.673736729281444,0.7272727272727273,1.0,1.0
31,13,31Al,,-14950.7,2.2,946.7,18,5.0,2.0,7.0,9.868272403218972,49.65969338394065,0.8064516129032258,1.0,0.0
32,13,32Al,,-11099.0,7.0,734.7,19,5.0,1.0,6.0,10.079368399158984,49.13692094590006,1.125,1.0,1.0
33,13,33Al,,-8497.0,7.0,747.5,20,5.0,0.0,5.0,10.288276478101775,48.63548880557204,1.4848484848484849,1.0,0.0
35,13,35Al,,-224.0,7.0,802.0,22,5.0,2.0,7.0,10.699874805650794,47.69087056232926,2.3142857142857145,1.0,0.0
34,13,34Al,m,-2951.1,2.1,657.0,21,5.0,1.0,6.0,10.49508462297634,48.15391768189145,1.8823529411764706,1.0,1.0
39,13,39Al,,21490.0,300.0,800.0,26,5.0,2.0,7.0,11.500315051230226,46.00126020492091,4.333333333333333,1.0,0.0
28,13,28Al,i,-10858.14,0.11,30.6382,15,5.0,5.0,10.0,9.220872584116892,51.373432968651265,0.14285714285714285,1.0,1.0
25,13,25Al,,-8915.97,0.06,451.7,12,5.0,4.0,9.0,8.549879733383484,53.35124953631295,0.04,1.0,0.0
26,13,26Al,,-12210.14,0.07,228.305,13,5.0,5.0,10.0,8.776382955329126,52.65829773197477,0.0,1.0,1.0
27,13,27Al,i,-10383.1,0.7,843.76,14,5.0,6.0,11.0,8.999999999999998,52.0,0.037037037037037035,1.0,0.0
24,13,24Al,i,5900.0,3.0,425.8,11,5.0,3.0,8.0,8.320335292207616,54.08217939934951,0.16666666666666666,1.0,1.0
29,13,29Al,,-18207.8,0.3,1398.05,16,5.0,4.0,9.0,9.43913067739236,50.776013299076155,0.3103448275862069,1.0,0.0
23,13,23Al,i,18470.0,40.0,550.0,10,5.0,2.0,7.0,8.087579399090064,54.85488635904566,0.391304347826087,1.0,0.0
26,14,26Si,,-7141.0,0.11,1797.3,12,6.0,4.0,10.0,8.776382955329126,61.4346806873039,0.15384615384615385,0.0,0.0
32,14,32Si,,-24077.69,0.3,1941.4,18,6.0,2.0,8.0,10.079368399158984,57.32640777021673,0.5,0.0,0.0
36,14,36Si,,-12440.0,70.0,1408.0,22,6.0,2.0,8.0,10.902723556992836,55.11932464924158,1.7777777777777777,0.0,0.0
29,14,29Si,i,-13605.0,5.0,1273.387,15,6.0,5.0,11.0,9.43913067739236,59.23868218225551,0.034482758620689655,0.0,1.0
24,14,24Si,,10745.0,19.0,1879.0,10,6.0,2.0,8.0,8.320335292207616,63.09587596590776,0.6666666666666666,0.0,0.0
33,14,33Si,,-20514.3,0.7,1010.2,19,6.0,1.0,7.0,10.288276478101775,56.74140360650071,0.7575757575757576,0.0,1.0
35,14,35Si,,-14390.0,40.0,909.95,21,6.0,1.0,7.0,10.699874805650794,55.63934898938413,1.4,0.0,1.0
34,14,34Si,m,-15735.6,0.9,3327.14,20,6.0,0.0,6.0,10.49508462297634,56.17957062887336,1.0588235294117647,0.0,0.0
25,14,25Si,,3827.0,10.0,40.0,11,6.0,3.0,9.0,8.549879733383484,62.24312445903177,0.36,0.0,1.0
28,14,28Si,j,-6265.8,1.0,1779.03,14,6.0,6.0,12.0,9.220872584116892,59.93567179675981,0.0,0.0,0.0
41,14,41Si,,13200.0,300.0,672.0,27,6.0,1.0,7.0,11.890202136872691,52.78089729050805,4.121951219512195,0.0,1.0
31,14,31Si,,-22949.04,0.04,752.23,17,6.0,3.0,9.0,9.868272403218972,57.936308947930755,0.2903225806451613,0.0,1.0
42,14,42Si,,16840.0,300.0,742.0,28,6.0,0.0,6.0,12.082761235960547,52.35863202249571,4.666666666666667,0.0,0.0
40,14,40Si,,5670.0,120.0,986.0,26,6.0,2.0,8.0,11.696070952851462,53.217122835474164,3.6,0.0,0.0
38,14,38Si,,-4170.0,100.0,1074.0,24,6.0,4.0,10.0,11.302878635921052,54.134839782569266,2.6315789473684212,0.0,0.0
27,14,27Si,i,-5759.5,2.3,780.9,13,6.0,5.0,11.0,8.999999999999998,60.666666666666664,0.037037037037037035,0.0,1.0
37,14,37Si,,-6570.0,110.0,68.2,23,6.0,3.0,9.0,11.103702468586784,54.61821214277825,2.189189189189189,0.0,1.0
30,14,30Si,,-24432.962000000003,0.022,2235.322,16,6.0,4.0,10.0,9.654893846056297,58.57302266607488,0.13333333333333333,0.0,0.0
34,15,34P,,-24548.7,0.8,429.09,19,5.0,1.0,6.0,10.49508462297634,64.82258149485388,0.47058823529411764,1.0,1.0
41,15,41P,,-4980.0,120.0,172.0,26,5.0,2.0,7.0,11.890202136872691,60.9010353352016,2.951219512195122,1.0,0.0
39,15,39P,,-12770.0,110.0,355.0,24,5.0,4.0,9.0,11.500315051230226,61.92477335277815,2.076923076923077,1.0,0.0
35,15,35P,,-24857.8,1.9,2386.6,20,5.0,0.0,5.0,10.699874805650794,64.19924883390478,0.7142857142857143,1.0,0.0
43,15,43P,,5040.0,300.0,184.0,28,5.0,0.0,5.0,12.273797969521459,59.94180403719784,3.9302325581395348,1.0,0.0
38,15,38P,,-14620.0,70.0,380.0,23,5.0,3.0,8.0,11.302878635921052,62.463276672195306,1.6842105263157894,1.0,1.0
36,15,36P,,-20251.0,13.0,249.9,21,5.0,1.0,6.0,10.902723556992836,63.599220749124896,1.0,1.0,1.0
37,15,37P,,-19000.0,40.0,861.0,22,5.0,2.0,7.0,11.103702468586784,63.02101401089798,1.3243243243243243,1.0,0.0
31,15,31P,,-24440.5444,0.0007,1266.13,16,5.0,4.0,9.0,9.868272403218972,66.8495872476124,0.03225806451612903,1.0,0.0
26,15,26P,,10970.0,200.0,164.4,11,5.0,3.0,8.0,8.776382955329126,70.8861700238122,0.6153846153846154,1.0,1.0
32,15,32P,i,-19232.44,0.07,78.06,17,5.0,3.0,8.0,10.079368399158984,66.14585511948084,0.125,1.0,1.0
33,15,33P,,-26337.4,1.1,1431.7,18,5.0,2.0,7.0,10.288276478101775,65.47085031519312,0.2727272727272727,1.0,0.0
27,15,27P,,-659.0,9.0,1120.0,12,5.0,4.0,9.0,8.999999999999998,70.0,0.3333333333333333,1.0,0.0
30,15,30P,i,-19523.85,0.08,677.01,15,5.0,5.0,10.0,9.654893846056297,67.58425692239409,0.0,1.0,1.0
28,15,28P,i,-1261.0,20.0,105.64,13,5.0,5.0,10.0,9.220872584116892,69.15654438087671,0.14285714285714285,1.0,1.0
29,15,29P,i,-8571.0,2.5,1383.55,14,5.0,6.0,11.0,9.43913067739236,68.3523255949102,0.034482758620689655,1.0,0.0
44,16,44S,,-9204.0,5.0,1329.0,28,4.0,0.0,4.0,12.463359368739502,67.98196019312456,3.272727272727273,0.0,0.0
32,16,32S,j,-13967.58,0.28,2230.57,16,4.0,4.0,8.0,10.079368399158984,75.5952629936924,0.0,0.0,0.0
37,16,37S,,-26896.43,0.2,646.177,21,4.0,1.0,5.0,11.103702468586784,72.02401601245484,0.6756756756756757,0.0,1.0
29,16,29S,,-3094.0,13.0,1222.0,13,4.0,5.0,9.0,9.43913067739236,78.11694353704023,0.3103448275862069,0.0,1.0
38,16,38S,,-26861.0,7.0,1292.02,22,4.0,2.0,6.0,11.302878635921052,71.38660191108035,0.9473684210526315,0.0,0.0
41,16,41S,,-19009.0,4.0,449.0,25,4.0,3.0,7.0,11.890202136872691,69.6011832402304,1.975609756097561,0.0,1.0
